,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9,precision_88.95138502120972,recall_88.95138502120972,F1_88.95138502120972
383,0.32857142857142857,0.5609756097560976,0.41441441441441446,0.9821428571428571,0.1676829268292683,0.28645833333333337,0.8333333333333334,0.01524390243902439,0.02994011976047904,0.2977346278317152,0.5609756097560976,0.3890063424947146
384,0.30892857142857144,0.5598705501618123,0.39815880322209435,0.9821428571428571,0.1779935275080906,0.30136986301369867,1.0,0.019417475728155338,0.03809523809523809,0.28317152103559873,0.5663430420711975,0.3775620280474649
385,0.2785714285714286,0.5379310344827586,0.36705882352941177,0.9821428571428571,0.1896551724137931,0.3179190751445087,0.8333333333333334,0.017241379310344827,0.03378378378378378,0.2540453074433657,0.5413793103448276,0.3458149779735683
386,0.3392857142857143,0.581039755351682,0.4284103720405863,0.9821428571428571,0.16819571865443425,0.28720626631853785,0.8333333333333334,0.01529051987767584,0.03003003003003003,0.30906148867313915,0.5840978593272171,0.4042328042328042
387,0.30178571428571427,0.5522875816993464,0.39030023094688215,0.9821428571428571,0.17973856209150327,0.30386740331491713,1.0,0.0196078431372549,0.038461538461538464,0.2766990291262136,0.5588235294117647,0.3701298701298701
388,0.3535714285714286,0.5806451612903226,0.4395116537180911,0.9821428571428571,0.16129032258064516,0.2770780856423174,0.8333333333333334,0.01466275659824047,0.028818443804034585,0.32362459546925565,0.5865102639296188,0.4171011470281543
389,0.3392857142857143,0.581039755351682,0.4284103720405863,0.9821428571428571,0.16819571865443425,0.28720626631853785,0.8333333333333334,0.01529051987767584,0.03003003003003003,0.30906148867313915,0.5840978593272171,0.4042328042328042
390,0.34464285714285714,0.5848484848484848,0.4337078651685393,1.0,0.1696969696969697,0.2901554404145078,1.0,0.01818181818181818,0.03571428571428572,0.3155339805825243,0.5909090909090909,0.4113924050632912
391,0.2892857142857143,0.5364238410596026,0.3758700696055685,0.9821428571428571,0.18211920529801323,0.3072625698324022,1.0,0.019867549668874173,0.03896103896103896,0.26375404530744334,0.5397350993377483,0.3543478260869565
392,0.32857142857142857,0.5768025078369906,0.41865756541524457,0.9821428571428571,0.1724137931034483,0.29333333333333333,0.8333333333333334,0.01567398119122257,0.030769230769230767,0.2993527508090615,0.5799373040752351,0.39487726787620064
393,0.29464285714285715,0.5271565495207667,0.37800687285223367,1.0,0.17891373801916932,0.3035230352303523,1.0,0.019169329073482427,0.037617554858934164,0.27184466019417475,0.536741214057508,0.3609022556390977
394,0.3142857142857143,0.5587301587301587,0.40228571428571425,1.0,0.17777777777777778,0.3018867924528302,1.0,0.01904761904761905,0.03738317757009346,0.28802588996763756,0.5650793650793651,0.3815648445873527
395,0.31785714285714284,0.5476923076923077,0.4022598870056497,1.0,0.1723076923076923,0.29396325459317585,1.0,0.018461538461538463,0.03625377643504532,0.28802588996763756,0.5476923076923077,0.3775185577942736
396,0.35535714285714287,0.5751445086705202,0.43929359823399555,0.9821428571428571,0.15895953757225434,0.27363184079601993,0.8333333333333334,0.014450867052023121,0.028409090909090908,0.32524271844660196,0.5809248554913294,0.41701244813278016
397,0.31785714285714284,0.5615141955835962,0.4059293044469783,1.0,0.17665615141955837,0.30026809651474534,1.0,0.01892744479495268,0.03715170278637771,0.2912621359223301,0.5678233438485805,0.3850267379679144
398,0.32321428571428573,0.5484848484848485,0.40674157303370784,1.0,0.1696969696969697,0.2901554404145078,1.0,0.01818181818181818,0.03571428571428572,0.2961165048543689,0.5545454545454546,0.3860759493670886
399,0.3196428571428571,0.5700636942675159,0.4096109839816934,0.9821428571428571,0.1751592356687898,0.29729729729729726,0.8333333333333334,0.01592356687898089,0.03125,0.2928802588996764,0.5764331210191083,0.38841201716738194
400,0.3410714285714286,0.5876923076923077,0.43163841807909603,1.0,0.1723076923076923,0.29396325459317585,1.0,0.018461538461538463,0.03625377643504532,0.3106796116504854,0.5907692307692308,0.40721102863202546
401,0.33035714285714285,0.5555555555555556,0.41433370660694296,0.9821428571428571,0.16516516516516516,0.28277634961439585,0.8333333333333334,0.015015015015015015,0.029498525073746312,0.2993527508090615,0.5555555555555556,0.3890641430073607
402,0.32321428571428573,0.5603715170278638,0.40996602491506234,0.9821428571428571,0.17027863777089783,0.29023746701846964,0.8333333333333334,0.015479876160990712,0.030395136778115502,0.29449838187702265,0.5634674922600619,0.38682252922422955
403,0.33035714285714285,0.5854430379746836,0.4223744292237443,0.9821428571428571,0.17405063291139242,0.2956989247311828,0.8333333333333334,0.015822784810126583,0.031055900621118016,0.2993527508090615,0.5854430379746836,0.39614561027837264
404,0.3392857142857143,0.572289156626506,0.42600896860986553,0.9821428571428571,0.16566265060240964,0.28350515463917525,0.8333333333333334,0.015060240963855422,0.029585798816568046,0.30906148867313915,0.5753012048192772,0.40210526315789474
405,0.3267857142857143,0.5791139240506329,0.4178082191780822,0.9821428571428571,0.17405063291139242,0.2956989247311828,0.8333333333333334,0.015822784810126583,0.031055900621118016,0.30097087378640774,0.5886075949367089,0.39828693790149894
406,0.3482142857142857,0.5873493975903614,0.437219730941704,1.0,0.1686746987951807,0.288659793814433,1.0,0.018072289156626505,0.03550295857988166,0.3187702265372168,0.5933734939759037,0.4147368421052632
407,0.325,0.5548780487804879,0.40990990990990994,1.0,0.17073170731707318,0.2916666666666667,1.0,0.018292682926829267,0.03592814371257485,0.29449838187702265,0.5548780487804879,0.38477801268498946
408,0.34285714285714286,0.5783132530120482,0.43049327354260086,1.0,0.1686746987951807,0.288659793814433,1.0,0.018072289156626505,0.03550295857988166,0.31715210355987056,0.5903614457831325,0.4126315789473684
409,0.3107142857142857,0.5631067961165048,0.4004602991944764,1.0,0.18122977346278318,0.30684931506849317,1.0,0.019417475728155338,0.03809523809523809,0.28640776699029125,0.5728155339805825,0.3818770226537217
410,0.33035714285714285,0.5674846625766872,0.417607223476298,0.9821428571428571,0.1687116564417178,0.28795811518324604,0.8333333333333334,0.015337423312883436,0.030120481927710843,0.30258899676375406,0.5736196319018405,0.3961864406779661
411,0.33214285714285713,0.5740740740740741,0.420814479638009,0.9821428571428571,0.1697530864197531,0.2894736842105263,0.8333333333333334,0.015432098765432098,0.030303030303030304,0.30097087378640774,0.5740740740740741,0.3949044585987261
