,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9,precision_88.95138502120972,recall_88.95138502120972,F1_88.95138502120972
549,0.35535714285714287,0.5887573964497042,0.443207126948775,1.0,0.24260355029585798,0.3904761904761905,1.0,0.24260355029585798,0.3904761904761905,0.32524271844660196,0.5946745562130178,0.4205020920502092
550,0.35535714285714287,0.6199376947040498,0.45175936435868325,1.0,0.24299065420560748,0.39097744360902253,1.0,0.24299065420560748,0.39097744360902253,0.32524271844660196,0.6261682242990654,0.4281150159744409
551,0.3517857142857143,0.6099071207430341,0.4462061155152889,1.0,0.22291021671826625,0.36455696202531646,1.0,0.22291021671826625,0.36455696202531646,0.32362459546925565,0.6191950464396285,0.42507970244420834
552,0.33035714285714285,0.5692307692307692,0.4180790960451978,1.0,0.2123076923076923,0.350253807106599,1.0,0.2123076923076923,0.350253807106599,0.3058252427184466,0.5815384615384616,0.40084835630965004
553,0.31785714285714284,0.5493827160493827,0.4027149321266968,1.0,0.20679012345679013,0.34271099744245526,1.0,0.20679012345679013,0.34271099744245526,0.2912621359223301,0.5555555555555556,0.38216560509554137
554,0.3142857142857143,0.6197183098591549,0.41706161137440756,1.0,0.25,0.4,1.0,0.25,0.4,0.2912621359223301,0.6338028169014085,0.3991130820399113
555,0.32857142857142857,0.5935483870967742,0.42298850574712643,1.0,0.2129032258064516,0.35106382978723405,1.0,0.2129032258064516,0.35106382978723405,0.2993527508090615,0.5967741935483871,0.3987068965517241
556,0.33035714285714285,0.6045751633986928,0.4272517321016166,1.0,0.24509803921568626,0.39370078740157477,1.0,0.24509803921568626,0.39370078740157477,0.3042071197411003,0.6143790849673203,0.4069264069264069
557,0.34464285714285714,0.5938461538461538,0.4361581920903954,1.0,0.2246153846153846,0.36683417085427134,1.0,0.2246153846153846,0.36683417085427134,0.31715210355987056,0.6030769230769231,0.41569459172852596
558,0.31785714285714284,0.5527950310559007,0.4036281179138322,1.0,0.18633540372670807,0.31413612565445026,1.0,0.18633540372670807,0.31413612565445026,0.2977346278317152,0.5714285714285714,0.39148936170212767
559,0.35,0.6182965299684543,0.4469783352337514,1.0,0.19873817034700317,0.33157894736842103,1.0,0.19873817034700317,0.33157894736842103,0.3220064724919094,0.6277602523659306,0.42566844919786095
560,0.34464285714285714,0.595679012345679,0.43665158371040724,1.0,0.2222222222222222,0.3636363636363636,1.0,0.2222222222222222,0.3636363636363636,0.3187702265372168,0.6080246913580247,0.41825902335456483
561,0.32142857142857145,0.594059405940594,0.4171494785631518,1.0,0.21782178217821782,0.35772357723577236,1.0,0.21782178217821782,0.35772357723577236,0.2961165048543689,0.6039603960396039,0.39739413680781754
562,0.3464285714285714,0.565597667638484,0.42967884828349945,1.0,0.20699708454810495,0.34299516908212563,1.0,0.20699708454810495,0.34299516908212563,0.3220064724919094,0.5801749271137027,0.4141519250780437
563,0.3464285714285714,0.60625,0.4409090909090909,1.0,0.253125,0.40399002493765584,1.0,0.253125,0.40399002493765584,0.31715210355987056,0.6125,0.417910447761194
564,0.3142857142857143,0.555205047318612,0.4013683010262258,1.0,0.22712933753943218,0.3701799485861183,1.0,0.22712933753943218,0.3701799485861183,0.2912621359223301,0.5678233438485805,0.3850267379679144
565,0.32321428571428573,0.562111801242236,0.41043083900226757,1.0,0.2453416149068323,0.39401496259351615,1.0,0.2453416149068323,0.39401496259351615,0.2977346278317152,0.5714285714285714,0.39148936170212767
566,0.3464285714285714,0.6006191950464397,0.43941109852774635,1.0,0.23219814241486067,0.37688442211055273,1.0,0.23219814241486067,0.37688442211055273,0.31715210355987056,0.6068111455108359,0.41657810839532416
567,0.31785714285714284,0.5760517799352751,0.4096662830840046,1.0,0.2168284789644013,0.3563829787234043,1.0,0.2168284789644013,0.3563829787234043,0.2912621359223301,0.5825242718446602,0.38834951456310673
568,0.325,0.5833333333333334,0.41743119266055045,1.0,0.20192307692307693,0.336,1.0,0.20192307692307693,0.336,0.30097087378640774,0.5961538461538461,0.39999999999999997
569,0.325,0.5796178343949044,0.41647597254004576,1.0,0.23248407643312102,0.3772609819121447,1.0,0.23248407643312102,0.3772609819121447,0.2993527508090615,0.589171974522293,0.39699570815450647
570,0.3482142857142857,0.6074766355140186,0.4426787741203178,1.0,0.22118380062305296,0.3622448979591837,1.0,0.22118380062305296,0.3622448979591837,0.32362459546925565,0.6230529595015576,0.4259850905218317
571,0.32142857142857145,0.5750798722044729,0.4123711340206186,1.0,0.20447284345047922,0.3395225464190981,1.0,0.20447284345047922,0.3395225464190981,0.2961165048543689,0.5846645367412141,0.39312567132116
572,0.33214285714285713,0.5454545454545454,0.41287458379578246,1.0,0.21407624633431085,0.3526570048309179,1.0,0.21407624633431085,0.3526570048309179,0.3042071197411003,0.5513196480938416,0.39207507820646503
573,0.34285714285714286,0.5783132530120482,0.43049327354260086,1.0,0.20481927710843373,0.34,1.0,0.20481927710843373,0.34,0.31715210355987056,0.5903614457831325,0.4126315789473684
574,0.35,0.6384364820846905,0.4521337946943483,1.0,0.20521172638436483,0.3405405405405405,1.0,0.20521172638436483,0.3405405405405405,0.32362459546925565,0.6514657980456026,0.4324324324324324
575,0.34464285714285714,0.6107594936708861,0.4406392694063927,1.0,0.25,0.4,1.0,0.25,0.4,0.31715210355987056,0.620253164556962,0.4197002141327623
576,0.3464285714285714,0.6081504702194357,0.44141069397042093,1.0,0.23510971786833856,0.3807106598984772,1.0,0.23510971786833856,0.3807106598984772,0.3220064724919094,0.6238244514106583,0.42475987193169695
577,0.32142857142857145,0.5750798722044729,0.4123711340206186,1.0,0.2012779552715655,0.3351063829787234,1.0,0.2012779552715655,0.3351063829787234,0.2977346278317152,0.5878594249201278,0.39527389903329757
578,0.32142857142857145,0.5769230769230769,0.4128440366972478,1.0,0.23717948717948717,0.38341968911917096,1.0,0.23717948717948717,0.38341968911917096,0.2961165048543689,0.5865384615384616,0.3935483870967742
579,0.3267857142857143,0.6059602649006622,0.4245939675174014,1.0,0.2152317880794702,0.35422343324250677,1.0,0.2152317880794702,0.35422343324250677,0.30097087378640774,0.6158940397350994,0.4043478260869565
580,0.38392857142857145,0.617816091954023,0.47356828193832606,1.0,0.2413793103448276,0.3888888888888889,1.0,0.2413793103448276,0.3888888888888889,0.3511326860841424,0.6235632183908046,0.4492753623188406
