,AUC,AP
0,0.8365192979381314,0.5923054158918758
1,0.8322598966667073,0.6063891098040289
2,0.8446309954647486,0.6077509439178821
3,0.8350172362209292,0.5989814367775552
4,0.8342204015728018,0.5835503741296982
5,0.8218166137139605,0.5875282664308762
6,0.8526602179834863,0.6235109899479011
7,0.8462189299510608,0.6138124791867989
8,0.8461524862399378,0.6085254371197067
9,0.827358306294291,0.5924784312066009
10,0.8311849564510236,0.5983666947924593
11,0.8462559789029611,0.6294953408513244
12,0.8457612711951045,0.6202733312238782
13,0.8313898546456686,0.5874086438701887
14,0.8516717952751262,0.6368936261692468
15,0.8454738391812577,0.6176443668154111
16,0.8380370503113661,0.6101026753290514
17,0.8363766184310738,0.6115586481596212
18,0.8419152718486711,0.6025671601369423
19,0.8324317765188125,0.5861416274993388
20,0.8135479444781004,0.5683269351727048
21,0.8324308161526157,0.6007584679481828
22,0.8220444927715937,0.6026723161285266
23,0.8288868249805749,0.5847632506909112
24,0.8393271896536468,0.607914072064497
25,0.8369930373932526,0.6109366602554659
26,0.8309549377201453,0.5954559701300852
27,0.8444947448682105,0.6155268518111338
28,0.8407659969822534,0.5934142927053907
29,0.850096933155063,0.6151592993574815
30,0.8201551871066127,0.5648566556907179
31,0.8298200767511439,0.5942726438517167
32,0.8403030365198166,0.6052755899091329
33,0.84358657079548,0.5942732190125894
34,0.8273118908382067,0.5997774625727106
35,0.8409794669954476,0.616487910289125
36,0.8407412177455321,0.6197756080985822
37,0.8185620001481574,0.5805853661205385
38,0.8355094371404259,0.6067781063296449
39,0.8446707872090943,0.6240881060058108
40,0.8365561995031117,0.5921778073607953
41,0.8184168721547799,0.5792495084272764
42,0.8185038506211795,0.5928907056408647
43,0.8330975164761514,0.6100089609796843
44,0.8259567599319682,0.569042509594368
45,0.8307315371309267,0.606464718624398
46,0.8346189096073934,0.5726093058290397
47,0.8188594695220588,0.5701317329443462
48,0.8325711157433727,0.5905351517636407
49,0.8106604703165277,0.5710129582881163
50,0.8342489028470248,0.6091483302816294
51,0.8240893784369938,0.5777311796724673
52,0.8254472492829332,0.5752952755403854
53,0.8366960210738208,0.590575449526844
54,0.8559492315444696,0.6223208756507218
55,0.8481251482292028,0.6048189403254791
56,0.8217466847093844,0.6075177979673483
57,0.8236764428160809,0.5705109504342886
